file,stmt_pct,stmt_covered,stmt_total,branch_pct,branch_covered,branch_total,fn_pct,fn_covered,fn_total,uncovered_functions
src/profiles.ts,0,0,6,0,0,1,0,0,6,"loadProfiles|upsertProfile|getProfile|deleteProfile|interpolate|(anonymous_5)"
src/drivers/aider.ts,0,0,64,0,0,18,0,0,12,"(anonymous_0)|(anonymous_1)|(anonymous_2)|(anonymous_3)|(anonymous_4)|(anonymous_5)|(anonymous_6)|(anonymous_7)|(anonymous_8)|(anonymous_9)|(anonymous_10)|(anonymous_11)"
src/drivers/amp.ts,0,0,116,0,0,49,0,0,13,"(anonymous_0)|(anonymous_1)|(anonymous_2)|(anonymous_3)|(anonymous_4)|(anonymous_5)|(anonymous_6)|(anonymous_7)|(anonymous_8)|(anonymous_9)|(anonymous_10)|(anonymous_11)|parseAmpEvent"
src/drivers/codex.ts,0,0,65,0,0,18,0,0,12,"(anonymous_0)|(anonymous_1)|(anonymous_2)|(anonymous_3)|(anonymous_4)|(anonymous_5)|(anonymous_6)|(anonymous_7)|(anonymous_8)|(anonymous_9)|(anonymous_10)|(anonymous_11)"
src/drivers/gemini.ts,0,0,118,0,0,51,0,0,13,"(anonymous_0)|(anonymous_1)|(anonymous_2)|(anonymous_3)|(anonymous_4)|(anonymous_5)|(anonymous_6)|(anonymous_7)|(anonymous_8)|(anonymous_9)|(anonymous_10)|(anonymous_11)|parseGeminiEvent"
src/drivers/types.ts,100,0,0,100,0,0,0,0,1,"(anonymous_0)"
src/meta-agent.ts,4.41,10,227,2.17,1,46,3.03,1,33,"(anonymous_1)|(anonymous_2)|(anonymous_3)|(anonymous_4)|(anonymous_5)|(anonymous_6)|(anonymous_7)|(anonymous_8)|(anonymous_9)|(anonymous_10)|(anonymous_11)|(anonymous_12)|(anonymous_13)|(anonymous_14)|(anonymous_15)|(anonymous_16)|(anonymous_17)|(anonymous_18)|(anonymous_19)|(anonymous_20)|(anonymous_21)|(anonymous_22)|(anonymous_23)|(anonymous_24)|(anonymous_25)|(anonymous_26)|(anonymous_27)|(anonymous_28)|(anonymous_29)|(anonymous_30)|(anonymous_31)|(anonymous_32)"
src/index.ts,46.39,225,485,33.09,46,139,15.63,5,32,"(anonymous_4)|(anonymous_5)|(anonymous_6)|(anonymous_7)|(anonymous_9)|(anonymous_10)|(anonymous_11)|(anonymous_12)|(anonymous_13)|(anonymous_14)|(anonymous_15)|(anonymous_16)|(anonymous_17)|(anonymous_18)|(anonymous_19)|(anonymous_20)|(anonymous_21)|(anonymous_22)|(anonymous_23)|(anonymous_24)|(anonymous_25)|(anonymous_26)|(anonymous_27)|(anonymous_28)|(anonymous_29)|(anonymous_30)|(anonymous_31)"
src/swarm.ts,20,37,185,24.39,10,41,32,8,25,"saveSwarm|loadSwarm|decomposeGoal|(anonymous_8)|(anonymous_9)|buildDecomposePrompt|waitForAllSubJobs|(anonymous_15)|(anonymous_16)|fetchJobRecord|sleep|(anonymous_19)|runSwarm|(anonymous_21)|(anonymous_22)|(anonymous_23)|getSwarmStatus"
src/drivers/index.ts,7.5,3,40,5.56,1,18,33.33,1,3,"listDrivers|getDriverStatus"
src/claude.ts,19.47,22,113,18.18,8,44,36.36,4,11,"runClaude|(anonymous_1)|(anonymous_2)|(anonymous_3)|(anonymous_4)|(anonymous_5)|extractToolName"
src/redis.ts,30.91,17,55,44.44,4,9,44.44,4,9,"sleep|(anonymous_1)|(anonymous_4)|tryDocker|tryRedisDaemon"
src/agent.ts,57.45,486,846,75.59,192,254,49.53,53,107,"(anonymous_2)|isLimitMessage|(anonymous_7)|parseResetTime|calculateCost|(anonymous_21)|(anonymous_22)|(anonymous_27)|(anonymous_28)|(anonymous_29)|(anonymous_30)|(anonymous_32)|(anonymous_38)|(anonymous_42)|(anonymous_45)|(anonymous_46)|(anonymous_47)|(anonymous_48)|(anonymous_49)|(anonymous_54)|(anonymous_55)|(anonymous_57)|(anonymous_58)|(anonymous_59)|(anonymous_61)|(anonymous_62)|(anonymous_63)|(anonymous_64)|(anonymous_65)|(anonymous_68)|(anonymous_69)|(anonymous_70)|(anonymous_71)|(anonymous_72)|(anonymous_73)|(anonymous_76)|(anonymous_77)|(anonymous_78)|(anonymous_80)|(anonymous_81)|(anonymous_83)|(anonymous_84)|(anonymous_85)|(anonymous_86)|(anonymous_87)|(anonymous_88)|(anonymous_89)|(anonymous_90)|(anonymous_91)|(anonymous_94)|(anonymous_95)|(anonymous_96)|(anonymous_97)|(anonymous_106)"
src/store.ts,51.49,104,202,65,26,40,60.71,17,28,"diskLoadProfiles|diskSaveProfiles|(anonymous_9)|(anonymous_11)|(anonymous_15)|(anonymous_17)|(anonymous_18)|(anonymous_19)|(anonymous_20)|(anonymous_21)|(anonymous_23)"
src/docker.ts,79.44,85,107,90,18,20,63.64,7,11,"(anonymous_6)|(anonymous_7)|(anonymous_9)|(anonymous_10)"
src/drivers/openai-compatible.ts,45.77,65,142,40.82,20,49,68.75,11,16,"(anonymous_1)|(anonymous_10)|(anonymous_11)|(anonymous_12)|(anonymous_14)"
src/cron.ts,81.75,112,137,94.44,34,36,72.73,16,22,"(anonymous_2)|(anonymous_4)|(anonymous_5)|(anonymous_6)|(anonymous_9)|(anonymous_21)"
